Latitude,Longitude,TempC,PressurehPa,HumidityPct,WindSpeedMS,WindDirDeg,U,V
13.0915161791158,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0946902553719,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.0978643316281,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.1010384078843,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.1042124841405,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.1073865603967,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.1105606366529,79.9031671390371,27.3,1014,67,1.17,354,1.16359061758088,-0.122298302023154
13.1137347129091,79.9031671390371,27.43,1014,67,0.95,2,0.949421285668141,0.0331545218673759
13.1169087891652,79.9031671390371,27.43,1014,67,0.95,2,0.949421285668141,0.0331545218673759
13.1200828654214,79.9031671390371,27.43,1014,67,0.95,2,0.949421285668141,0.0331545218673759
13.1232569416776,79.9031671390371,27.43,1014,67,0.95,2,0.949421285668141,0.0331545218673759
13.1264310179338,79.9031671390371,27.43,1014,67,0.95,2,0.949421285668141,0.0331545218673759
13.12960509419,79.9031671390371,27.43,1014,67,0.95,2,0.949421285668141,0.0331545218673759
13.1327791704462,79.9031671390371,27.43,1014,67,0.95,2,0.949421285668141,0.0331545218673759
13.1359532467023,79.9031671390371,27.43,1014,67,0.95,2,0.949421285668141,0.0331545218673759
13.1391273229585,79.9031671390371,27.43,1014,67,0.95,2,0.949421285668141,0.0331545218673759
13.1423013992147,79.9031671390371,27.43,1014,67,0.95,2,0.949421285668141,0.0331545218673759
13.1454754754709,79.9031671390371,27.43,1014,67,0.95,2,0.949421285668141,0.0331545218673759
13.1486495517271,79.9031671390371,27.43,1014,67,0.95,2,0.949421285668141,0.0331545218673759
